Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250251204003,606,266,0,12,4,12,18,26,11,17,69,51,23,27,241,174,62,46,3,25,114,88,47,68,14,22,3,1204,Suffolk County,Massachusetts
1500000US250251204004,1288,264,0,12,176,142,80,67,109,75,161,81,57,48,288,177,61,52,63,42,151,93,138,88,4,10,4,1204,Suffolk County,Massachusetts
1500000US250251204005,1179,362,0,12,0,12,112,104,104,89,332,250,57,69,307,223,4,12,27,42,172,132,50,48,14,21,5,1204,Suffolk County,Massachusetts
1500000US250251205001,450,130,0,12,0,12,52,60,34,29,146,56,18,18,88,54,7,10,42,31,47,38,16,19,0,12,1,1205,Suffolk County,Massachusetts
1500000US250251205002,478,144,5,8,27,23,72,69,94,64,31,21,25,26,115,68,19,19,9,12,41,28,20,20,20,28,2,1205,Suffolk County,Massachusetts
1500000US250251205003,339,97,0,12,19,22,17,14,45,33,55,45,3,4,32,26,7,10,12,17,96,61,40,26,13,21,3,1205,Suffolk County,Massachusetts
1500000US250251206001,604,177,17,26,22,34,29,32,70,55,97,61,42,27,124,73,51,54,36,42,36,45,72,55,8,12,1,1206,Suffolk County,Massachusetts
1500000US250251206002,763,163,0,12,35,31,25,20,60,29,124,65,78,42,191,72,88,69,53,40,62,46,29,34,18,21,2,1206,Suffolk County,Massachusetts
1500000US250251206003,519,97,5,9,24,22,31,28,106,73,49,31,71,56,143,73,6,11,33,31,38,24,13,15,0,12,3,1206,Suffolk County,Massachusetts
1500000US250251207001,552,124,0,12,2,7,43,37,40,21,97,45,41,34,119,69,24,33,56,37,111,81,10,17,9,15,1,1207,Suffolk County,Massachusetts
1500000US250251207002,802,111,0,12,45,44,67,44,154,81,90,44,64,45,158,68,20,14,54,31,101,49,49,31,0,12,2,1207,Suffolk County,Massachusetts
1500000US250251301001,769,302,0,12,0,12,67,62,122,98,213,203,0,12,95,78,0,12,33,48,66,72,139,109,34,53,1,1301,Suffolk County,Massachusetts
1500000US250251301002,807,208,0,12,22,36,19,25,71,54,84,79,47,57,184,78,15,25,42,47,199,114,124,84,0,12,2,1301,Suffolk County,Massachusetts
1500000US250251301003,230,123,0,12,15,25,0,12,13,21,0,12,18,29,30,36,0,12,52,62,60,67,31,49,11,19,3,1301,Suffolk County,Massachusetts
1500000US250251301004,349,154,0,12,0,12,28,40,0,12,43,52,50,58,14,22,0,12,67,77,91,63,56,53,0,12,4,1301,Suffolk County,Massachusetts
1500000US250251301005,405,170,7,13,10,18,0,12,31,54,18,29,40,50,120,125,42,67,0,12,81,77,56,67,0,12,5,1301,Suffolk County,Massachusetts
1500000US250251301006,171,140,0,12,0,12,0,12,23,38,33,52,32,51,54,48,0,12,0,12,12,19,17,24,0,12,6,1301,Suffolk County,Massachusetts
1500000US250251301007,278,156,0,12,0,12,41,56,0,12,0,12,43,59,143,119,13,20,22,34,0,12,16,24,0,12,7,1301,Suffolk County,Massachusetts
1500000US250251302001,380,187,2,6,0,12,29,26,32,22,55,57,17,27,115,78,0,12,17,26,84,88,29,47,0,12,1,1302,Suffolk County,Massachusetts
1500000US250251302002,409,139,0,12,37,33,19,23,69,62,87,63,28,26,34,33,0,12,27,25,69,54,39,44,0,12,2,1302,Suffolk County,Massachusetts
1500000US250251302003,842,272,11,17,10,16,54,40,114,70,142,131,19,31,181,87,43,28,103,85,72,43,67,44,26,29,3,1302,Suffolk County,Massachusetts
1500000US250251302004,438,143,21,24,10,15,64,66,112,61,37,46,20,24,82,55,23,29,8,13,25,31,36,27,0,12,4,1302,Suffolk County,Massachusetts
1500000US250251302005,654,261,0,12,25,22,68,72,89,77,91,62,78,73,108,58,0,12,13,15,89,83,93,65,0,12,5,1302,Suffolk County,Massachusetts
1500000US250251303001,698,154,8,13,47,51,41,34,54,47,66,44,68,48,99,63,28,29,8,12,179,84,90,54,10,17,1,1303,Suffolk County,Massachusetts
1500000US250251303002,528,158,5,9,6,10,73,81,87,56,77,48,60,50,85,70,12,19,17,20,19,24,66,46,21,33,2,1303,Suffolk County,Massachusetts
1500000US250251303003,422,121,0,12,10,16,16,21,54,57,34,27,65,66,94,49,47,43,18,25,40,36,31,38,13,19,3,1303,Suffolk County,Massachusetts
1500000US250251303004,486,130,0,12,0,12,88,64,43,55,142,66,7,12,90,61,21,23,19,22,46,40,21,26,9,14,4,1303,Suffolk County,Massachusetts
1500000US250251303005,217,76,0,12,0,12,2,4,43,42,43,45,32,35,32,37,0,12,0,12,21,24,31,48,13,22,5,1303,Suffolk County,Massachusetts
1500000US250251304021,436,177,0,12,0,12,2,5,47,70,124,78,18,29,59,67,27,42,37,40,55,62,67,62,0,12,1,1304.02,Suffolk County,Massachusetts
1500000US250251304022,395,175,0,12,0,12,56,70,76,80,118,117,17,29,15,24,17,29,16,26,62,78,18,29,0,12,2,1304.02,Suffolk County,Massachusetts
1500000US250251304023,687,186,0,12,44,51,17,26,42,40,105,87,145,110,124,106,99,71,48,53,18,31,35,58,10,25,3,1304.02,Suffolk County,Massachusetts
1500000US250251304024,598,225,0,12,0,12,14,24,12,20,205,159,100,115,168,108,28,32,0,12,40,35,31,37,0,12,4,1304.02,Suffolk County,Massachusetts
1500000US250251304025,523,197,0,12,14,25,0,12,105,81,116,89,107,82,81,88,63,66,0,12,0,12,14,26,23,39,5,1304.02,Suffolk County,Massachusetts
