Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250251605012,473,255,81,103,0,12,0,12,7,12,33,52,44,37,0,12,12,19,59,69,0,12,0,12,47,63,153,144,37,46,2,1605.01,Suffolk County,Massachusetts
1500000US250251605013,384,168,33,53,25,40,14,26,22,28,84,116,98,82,14,22,0,12,0,12,0,12,9,15,0,12,0,12,85,90,3,1605.01,Suffolk County,Massachusetts
1500000US250251605014,185,129,21,34,23,37,0,12,0,12,14,25,25,38,0,12,0,12,0,12,0,12,0,12,30,34,45,66,27,35,4,1605.01,Suffolk County,Massachusetts
1500000US250251605015,508,247,10,24,57,77,0,12,96,89,35,51,80,71,106,99,0,12,0,12,30,44,15,24,0,12,29,44,50,66,5,1605.01,Suffolk County,Massachusetts
1500000US250251605021,994,330,117,95,61,50,44,47,44,49,27,29,145,111,124,151,232,177,19,28,53,64,33,37,32,53,0,12,63,51,1,1605.02,Suffolk County,Massachusetts
1500000US250251605022,546,207,0,12,155,128,0,12,41,49,66,74,5,25,41,42,39,33,8,19,49,59,100,130,0,12,27,42,15,24,2,1605.02,Suffolk County,Massachusetts
1500000US250251605023,647,362,43,69,93,79,0,12,145,174,52,47,110,91,38,46,56,56,0,12,21,32,13,19,0,12,72,80,4,10,3,1605.02,Suffolk County,Massachusetts
1500000US250251606011,929,237,63,47,28,48,49,51,254,166,53,39,27,27,54,45,112,82,52,37,35,31,36,39,0,12,67,45,99,78,1,1606.01,Suffolk County,Massachusetts
1500000US250251606012,712,176,59,67,26,33,19,29,47,50,113,106,80,67,145,66,57,45,0,12,65,93,19,31,0,12,41,37,41,37,2,1606.01,Suffolk County,Massachusetts
1500000US250251606021,713,304,29,46,0,12,26,41,110,63,10,18,264,225,78,51,43,58,59,64,28,33,28,33,0,12,13,20,25,29,1,1606.02,Suffolk County,Massachusetts
1500000US250251606022,413,233,14,25,80,78,58,71,0,12,0,12,65,56,17,32,55,62,39,40,0,12,20,33,0,12,56,61,9,13,2,1606.02,Suffolk County,Massachusetts
1500000US250251606023,319,140,0,12,5,9,10,15,21,35,15,24,79,69,78,54,48,47,23,26,0,12,40,40,0,12,0,12,0,12,3,1606.02,Suffolk County,Massachusetts
